PolicyName	Path	Type
AWSDirectoryServiceReadOnlyAccess	/	AWS managed
AWSDiscoveryContinuousExportFirehosePolicy	/	AWS managed
AWSEC2FleetServiceRolePolicy	/aws-service-role/	AWS managed
AWSEC2SpotFleetServiceRolePolicy	/aws-service-role/	AWS managed
AWSEC2SpotServiceRolePolicy	/aws-service-role/	AWS managed
AWSElasticBeanstalkCustomPlatformforEC2Role	/	AWS managed
AWSElasticBeanstalkEnhancedHealth	/service-role/	AWS managed
AWSElasticBeanstalkFullAccess	/	AWS managed
AWSElasticBeanstalkMaintenance	/aws-service-role/	AWS managed
AWSElasticBeanstalkManagedUpdatesServiceRolePolicy	/aws-service-role/	AWS managed
AWSElasticBeanstalkMulticontainerDocker	/	AWS managed
AWSElasticBeanstalkReadOnlyAccess	/	AWS managed
AWSElasticBeanstalkService	/service-role/	AWS managed
AWSElasticBeanstalkServiceRolePolicy	/aws-service-role/	AWS managed
AWSElasticBeanstalkWebTier	/	AWS managed
AWSElasticBeanstalkWorkerTier	/	AWS managed
AWSElasticLoadBalancingClassicServiceRolePolicy	/aws-service-role/	AWS managed
AWSElasticLoadBalancingServiceRolePolicy	/aws-service-role/	AWS managed
AWSElementalMediaConvertFullAccess	/	AWS managed
AWSElementalMediaConvertReadOnly	/	AWS managed
AWSElementalMediaPackageFullAccess	/	AWS managed
AWSElementalMediaPackageReadOnly	/	AWS managed
AWSElementalMediaStoreFullAccess	/	AWS managed
AWSElementalMediaStoreReadOnly	/	AWS managed
AWSEnhancedClassicNetworkingMangementPolicy	/aws-service-role/	AWS managed
AWSFMAdminFullAccess	/	AWS managed
AWSFMAdminReadOnlyAccess	/	AWS managed
AWSFMMemberReadOnlyAccess	/	AWS managed
AWSForWordPressPluginPolicy	/	AWS managed
AWSGlobalAcceleratorSLRPolicy	/aws-service-role/	AWS managed
AWSGlueConsoleFullAccess	/	AWS managed
AWSGlueConsoleSageMakerNotebookFullAccess	/	AWS managed
AWSGlueServiceNotebookRole	/service-role/	AWS managed
AWSGlueServiceRole	/service-role/	AWS managed
AWSGreengrassFullAccess	/	AWS managed
AWSGreengrassReadOnlyAccess	/	AWS managed
AWSGreengrassResourceAccessRolePolicy	/service-role/	AWS managed
AWSHealthFullAccess	/	AWS managed
AWSImageBuilderFullAccess	/	AWS managed
AWSImageBuilderReadOnlyAccess	/	AWS managed
AWSImportExportFullAccess	/	AWS managed
AWSImportExportReadOnlyAccess	/	AWS managed
AWSIoT1ClickFullAccess	/	AWS managed
AWSIoT1ClickReadOnlyAccess	/	AWS managed
AWSIoTAnalyticsFullAccess	/	AWS managed
AWSIoTAnalyticsReadOnlyAccess	/	AWS managed
AWSIoTConfigAccess	/	AWS managed
AWSIoTConfigReadOnlyAccess	/	AWS managed
AWSIoTDataAccess	/	AWS managed
AWSIoTDeviceDefenderAddThingsToThingGroupMitigationAction	/service-role/	AWS managed
AWSIoTDeviceDefenderAudit	/service-role/	AWS managed
AWSIoTDeviceDefenderEnableIoTLoggingMitigationAction	/service-role/	AWS managed
AWSIoTDeviceDefenderPublishFindingsToSNSMitigationAction	/service-role/	AWS managed
AWSIoTDeviceDefenderReplaceDefaultPolicyMitigationAction	/service-role/	AWS managed
AWSIoTDeviceDefenderUpdateCACertMitigationAction	/service-role/	AWS managed
AWSIoTDeviceDefenderUpdateDeviceCertMitigationAction	/service-role/	AWS managed
AWSIoTDeviceTesterForFreeRTOSFullAccess	/	AWS managed
